Student ID,Subjects,Days of the Week,Time Slots,Study Habits,Current CGPA,Target CGPA,Level,Semester
1,"AI, Data Science, Networking","Mon, Tue",1-3,Auditory,2.86,4.08,100,First
2,Algorithms,"Wed, Thu",2-4,Auditory,2.57,4.05,100,Second
3,"Web Development, Databases","Mon, Tue",10-12,Auditory,3.16,4.0,400,First
4,"Web Development, Networking","Mon, Tue",2-4,Visual,2.63,3.35,300,Second
5,"AI, Networking","Wed, Thu",8-10,Reading,3.11,3.33,300,Second
6,Machine Learning,"Mon, Tue",2-4,Visual,3.36,3.5,400,First
7,AI,"Mon, Tue",8-10,Reading,2.75,4.06,300,First
8,Networking,"Mon, Fri",10-12,Reading,3.02,3.16,100,First
9,"Machine Learning, Networking","Mon, Fri",2-4,Writing,2.98,3.1,300,First
10,Databases,"Mon, Fri",8-10,Visual,2.56,3.35,100,First
11,"OOP, Databases, Web Development","Mon, Fri",1-3,Reading,3.23,4.2,300,Second
12,Networking,"Fri, Sat",2-4,Reading,3.12,4.15,400,First
13,"Data Science, AI, Web Development","Fri, Sat",1-3,Reading,3.38,4.79,200,Second
14,"Networking, Algorithms","Wed, Thu",1-3,Auditory,2.52,3.2,300,Second
15,"Networking, Web Development","Mon, Tue",8-10,Reading,2.84,3.82,300,Second
16,"AI, Data Science, Databases","Fri, Sat",10-12,Reading,3.14,3.98,100,Second
17,"Databases, Machine Learning","Wed, Thu",2-4,Auditory,2.57,2.73,300,Second
18,Networking,"Fri, Sat",10-12,Reading,3.89,4.63,200,Second
19,"AI, Web Development","Wed, Thu",8-10,Auditory,3.55,4.43,300,Second
20,"Data Science, Software Engineering","Wed, Thu",2-4,Writing,3.77,4.22,100,First
21,"Machine Learning, Software Engineering, AI","Wed, Thu",10-12,Reading,3.37,4.72,300,First
22,"Data Science, Networking","Mon, Fri",1-3,Auditory,2.68,3.68,200,First
23,"AI, Algorithms","Wed, Thu",10-12,Reading,2.75,4.05,300,First
24,"Networking, Algorithms","Wed, Thu",1-3,Auditory,3.96,4.92,200,First
25,Networking,"Mon, Tue",8-10,Writing,2.78,3.64,400,Second
26,Web Development,"Wed, Thu",8-10,Visual,2.23,3.58,400,First
27,"Software Engineering, AI","Fri, Sat",8-10,Auditory,2.83,4.19,200,Second
28,"Networking, Software Engineering","Wed, Thu",8-10,Writing,3.37,4.02,200,Second
29,OOP,"Fri, Sat",2-4,Visual,3.91,4.39,200,First
30,Software Engineering,"Fri, Sat",2-4,Writing,3.23,3.41,100,First
31,Software Engineering,"Wed, Thu",8-10,Reading,2.92,3.6,200,First
32,"Networking, OOP","Mon, Fri",1-3,Writing,2.89,3.51,400,First
33,AI,"Mon, Fri",10-12,Visual,3.08,4.42,400,First
34,"Algorithms, Web Development, AI","Mon, Fri",10-12,Writing,2.07,2.28,200,Second
35,Machine Learning,"Mon, Fri",1-3,Writing,2.43,3.91,200,First
36,"Software Engineering, AI, Networking","Mon, Fri",8-10,Auditory,2.97,3.47,100,First
37,"Web Development, Data Science","Wed, Thu",2-4,Visual,2.37,2.6,200,Second
38,"Algorithms, Web Development","Fri, Sat",8-10,Auditory,2.48,3.32,200,Second
39,Networking,"Fri, Sat",2-4,Writing,2.93,3.07,300,Second
40,"Networking, Algorithms, Software Engineering","Wed, Thu",1-3,Auditory,2.01,2.18,400,Second
41,Software Engineering,"Wed, Thu",10-12,Auditory,2.4,3.64,300,Second
42,"Software Engineering, OOP","Fri, Sat",1-3,Reading,2.27,3.6,100,Second
43,"Data Science, Networking, Software Engineering","Fri, Sat",8-10,Visual,2.85,3.56,200,First
44,"Databases, Networking, Web Development","Mon, Fri",1-3,Visual,2.49,2.77,200,First
45,"Data Science, Web Development","Mon, Fri",1-3,Reading,3.98,5.39,200,Second
46,Web Development,"Fri, Sat",2-4,Reading,2.33,2.82,100,First
47,"Databases, Machine Learning","Fri, Sat",1-3,Writing,2.81,3.58,300,First
48,"AI, OOP, Software Engineering","Fri, Sat",1-3,Auditory,2.2,3.44,300,Second
49,"Data Science, Software Engineering, Machine Learning","Mon, Fri",10-12,Writing,2.36,3.38,200,First
50,"Algorithms, Machine Learning","Wed, Thu",8-10,Visual,2.14,3.56,100,Second
51,Data Science,"Mon, Fri",2-4,Visual,2.66,2.98,200,First
52,"Networking, Software Engineering","Fri, Sat",1-3,Auditory,2.68,2.87,200,First
53,"Algorithms, AI","Wed, Thu",2-4,Auditory,3.26,3.74,100,Second
54,Web Development,"Mon, Fri",8-10,Visual,3.25,4.43,400,First
55,"Data Science, Databases, Software Engineering","Mon, Tue",10-12,Writing,3.68,4.2,300,First
56,"Databases, Networking","Wed, Thu",10-12,Auditory,2.76,3.41,200,Second
57,OOP,"Mon, Tue",1-3,Visual,2.97,3.18,300,Second
58,"Data Science, OOP","Wed, Thu",2-4,Reading,3.25,3.93,200,Second
59,"Algorithms, Machine Learning, Software Engineering","Wed, Thu",10-12,Auditory,3.78,4.83,200,Second
60,"OOP, Networking","Wed, Thu",1-3,Visual,2.29,3.28,100,First
61,"Machine Learning, AI, Software Engineering","Fri, Sat",8-10,Reading,2.56,3.95,200,First
62,Networking,"Fri, Sat",1-3,Writing,2.89,4.29,100,First
63,"AI, Data Science","Wed, Thu",8-10,Visual,3.71,3.88,200,First
64,"Data Science, Databases","Fri, Sat",10-12,Visual,2.8,3.51,400,Second
65,"Web Development, Networking, Algorithms","Mon, Tue",2-4,Visual,3.22,3.79,400,First
66,"Machine Learning, Software Engineering, Networking","Mon, Fri",1-3,Reading,3.3,3.9,200,First
67,"Algorithms, Machine Learning, Data Science","Mon, Fri",2-4,Writing,2.14,3.59,200,Second
68,"AI, OOP","Mon, Tue",8-10,Writing,3.19,3.74,400,First
69,AI,"Mon, Fri",8-10,Auditory,2.88,3.43,400,First
70,"Data Science, Databases","Mon, Fri",2-4,Visual,3.64,4.83,100,First
71,"Web Development, Algorithms, Software Engineering","Wed, Thu",8-10,Auditory,2.9,3.69,300,Second
72,"Algorithms, Machine Learning, Software Engineering","Mon, Tue",8-10,Reading,3.19,3.79,300,First
73,"AI, Networking","Fri, Sat",10-12,Auditory,2.95,4.14,400,Second
74,"AI, OOP, Web Development","Mon, Fri",1-3,Reading,2.53,3.73,200,Second
75,"OOP, AI","Mon, Fri",8-10,Reading,2.24,2.59,200,Second
76,AI,"Fri, Sat",8-10,Visual,3.7,5.06,100,First
77,"Web Development, Networking","Mon, Tue",1-3,Writing,3.46,4.84,100,First
78,"OOP, Software Engineering, Algorithms","Mon, Fri",8-10,Visual,3.02,3.83,100,Second
79,"Web Development, OOP, Machine Learning","Mon, Tue",1-3,Reading,3.06,3.72,300,First
80,"Machine Learning, Software Engineering, Data Science","Mon, Fri",10-12,Writing,3.56,4.98,300,Second
81,Databases,"Fri, Sat",8-10,Auditory,2.93,3.72,100,First
82,"AI, Web Development, OOP","Mon, Tue",1-3,Reading,3.54,4.99,200,First
83,"Data Science, Networking","Fri, Sat",1-3,Visual,2.46,3.85,400,First
84,"Databases, Software Engineering, Data Science","Mon, Tue",8-10,Auditory,3.04,3.51,200,Second
85,Databases,"Fri, Sat",1-3,Auditory,3.62,3.79,400,First
86,"Machine Learning, Databases","Mon, Fri",2-4,Reading,3.14,4.06,300,Second
87,"AI, Databases","Mon, Tue",8-10,Auditory,3.06,3.33,100,First
88,Machine Learning,"Wed, Thu",8-10,Reading,3.27,4.25,400,Second
89,"AI, Machine Learning","Fri, Sat",1-3,Reading,3.95,4.07,100,Second
90,Machine Learning,"Mon, Fri",8-10,Reading,2.27,3.24,200,First
91,Data Science,"Wed, Thu",2-4,Visual,3.96,4.83,400,Second
92,Algorithms,"Wed, Thu",8-10,Auditory,2.33,2.72,400,Second
93,Software Engineering,"Fri, Sat",8-10,Auditory,3.05,4.22,300,Second
94,"Machine Learning, OOP","Wed, Thu",10-12,Auditory,2.56,2.78,300,First
95,"Data Science, Machine Learning, Databases","Mon, Tue",1-3,Reading,2.63,3.24,400,Second
96,OOP,"Mon, Fri",10-12,Writing,3.59,4.21,400,Second
97,"OOP, Software Engineering","Wed, Thu",2-4,Reading,3.35,3.6,400,Second
98,"Algorithms, Machine Learning, Databases","Mon, Fri",1-3,Visual,2.42,2.93,100,First
99,"AI, Networking, Algorithms","Wed, Thu",8-10,Auditory,2.19,3.39,200,Second
100,"Networking, AI","Mon, Tue",8-10,Visual,3.9,5.17,100,First
